pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-01,871.2307292139897
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-02,876.3108633260877
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-03,884.6352793921233
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-04,883.7422349952476
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-05,881.1586305804519
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-06,877.4184102969461
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-07,888.4225250440873
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-08,871.2307292139897
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-09,876.3108633260877
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-10,884.6352793921233
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-11,883.7422349952476
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-12,881.1586305804519
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-13,877.4184102969461
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-14,888.4225250440873
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-15,871.2307292139897
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-16,876.3108633260877
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-17,884.6352793921233
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-18,883.7422349952476
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-19,881.1586305804519
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-20,877.4184102969461
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-21,888.4225250440873
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-22,871.2307292139897
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-23,876.3108633260877
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-24,884.6352793921233
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-25,883.7422349952476
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-26,881.1586305804519
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-27,877.4184102969461
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-28,888.4225250440873
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-29,871.2307292139897
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-30,876.3108633260877
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-31,884.6352793921233
